Fecha,Zona,CantidadTotal
28/07/2017,RURAL,13
28/07/2017,URBANA,78
29/07/2017,RURAL,10
29/07/2017,URBANA,53
30/07/2017,RURAL,10
30/07/2017,URBANA,71
31/07/2017,RURAL,8
31/07/2017,URBANA,83
01/08/2017,RURAL,18
01/08/2017,URBANA,172
02/08/2017,RURAL,8
02/08/2017,URBANA,85
03/08/2017,RURAL,6
03/08/2017,URBANA,75
04/08/2017,RURAL,15
04/08/2017,URBANA,91
05/08/2017,RURAL,3
05/08/2017,URBANA,66
06/08/2017,RURAL,6
06/08/2017,URBANA,60
07/08/2017,RURAL,6
07/08/2017,URBANA,55
08/08/2017,RURAL,20
08/08/2017,URBANA,86
09/08/2017,RURAL,7
09/08/2017,URBANA,88
10/08/2017,RURAL,10
10/08/2017,URBANA,100
11/08/2017,RURAL,7
11/08/2017,URBANA,85
12/08/2017,RURAL,6
12/08/2017,URBANA,71
13/08/2017,RURAL,8
13/08/2017,URBANA,65
14/08/2017,RURAL,14
14/08/2017,URBANA,100
15/08/2017,RURAL,8
15/08/2017,URBANA,125
16/08/2017,RURAL,7
16/08/2017,URBANA,84
17/08/2017,RURAL,5
17/08/2017,URBANA,91
18/08/2017,RURAL,11
18/08/2017,URBANA,108
19/08/2017,RURAL,5
19/08/2017,URBANA,61
20/08/2017,RURAL,6
20/08/2017,URBANA,74
21/08/2017,RURAL,9
21/08/2017,URBANA,63
22/08/2017,RURAL,12
22/08/2017,URBANA,99
23/08/2017,RURAL,5
23/08/2017,URBANA,118
24/08/2017,RURAL,12
24/08/2017,URBANA,103
25/08/2017,RURAL,9
25/08/2017,URBANA,82
26/08/2017,RURAL,8
26/08/2017,URBANA,48
27/08/2017,RURAL,6
27/08/2017,URBANA,66
28/08/2017,RURAL,5
28/08/2017,URBANA,95
29/08/2017,RURAL,9
29/08/2017,URBANA,77
30/08/2017,RURAL,8
30/08/2017,URBANA,88
31/08/2017,RURAL,9
31/08/2017,URBANA,85
01/09/2017,RURAL,17
