name,Fecha,CantidadTotal
Homicidios,06/12/2017,36
Homicidios,07/12/2017,29
Homicidios,08/12/2017,61
Homicidios,09/12/2017,31
Homicidios,10/12/2017,43
Homicidios,11/12/2017,41
Homicidios,12/12/2017,30
Homicidios,13/12/2017,30
Homicidios,14/12/2017,36
Homicidios,15/12/2017,34
Homicidios,16/12/2017,39
Homicidios,17/12/2017,60
Homicidios,18/12/2017,39
Homicidios,19/12/2017,28
Homicidios,20/12/2017,39
Homicidios,21/12/2017,27
Homicidios,22/12/2017,40
Homicidios,23/12/2017,36
Homicidios,24/12/2017,70
Homicidios,25/12/2017,62
Homicidios,26/12/2017,27
Homicidios,27/12/2017,24
Homicidios,28/12/2017,35
Homicidios,29/12/2017,43
Homicidios,30/12/2017,33
Homicidios,31/12/2017,55
Homicidios,01/01/2018,82
Homicidios,02/01/2018,36
Homicidios,03/01/2018,22
Homicidios,04/01/2018,32
Homicidios,05/01/2018,19
Homicidios,06/01/2018,37
Homicidios,07/01/2018,29
Homicidios,08/01/2018,24
Homicidios,09/01/2018,21
Homicidios,10/01/2018,20
Homicidios,11/01/2018,31
Homicidios,12/01/2018,27
Homicidios,13/01/2018,45
Homicidios,14/01/2018,44
Homicidios,15/01/2018,40
Homicidios,16/01/2018,33
Homicidios,17/01/2018,28
Homicidios,18/01/2018,30
Homicidios,19/01/2018,39
Homicidios,20/01/2018,46
Homicidios,21/01/2018,64
Homicidios,22/01/2018,37
Homicidios,23/01/2018,33
Homicidios,24/01/2018,33
Homicidios,25/01/2018,31
Homicidios,26/01/2018,29
Homicidios,27/01/2018,47
Homicidios,28/01/2018,53
Homicidios,29/01/2018,27
Homicidios,30/01/2018,38
Homicidios,31/01/2018,32
Homicidios,01/02/2018,24
Homicidios,02/02/2018,30
Homicidios,03/02/2018,37
Homicidios,04/02/2018,55
Homicidios,05/02/2018,28
Homicidios,06/02/2018,34
Homicidios,07/02/2018,36
Homicidios,08/02/2018,29
Homicidios,09/02/2018,35
Homicidios,10/02/2018,43
Homicidios,11/02/2018,63
Homicidios,12/02/2018,34
Homicidios,13/02/2018,25
Homicidios,14/02/2018,25
Homicidios,15/02/2018,19
Homicidios,16/02/2018,34
Homicidios,17/02/2018,32
Homicidios,18/02/2018,42
Homicidios,19/02/2018,28
Homicidios,20/02/2018,27
Homicidios,21/02/2018,32
Homicidios,22/02/2018,19
Homicidios,23/02/2018,32
Homicidios,24/02/2018,30
Homicidios,25/02/2018,49
Homicidios,26/02/2018,35
Homicidios,27/02/2018,31
Homicidios,28/02/2018,37
Homicidios,01/03/2018,37
Homicidios,02/03/2018,26
Homicidios,03/03/2018,35
Homicidios,04/03/2018,47
Homicidios,05/03/2018,34
Homicidios,06/03/2018,30
Homicidios,07/03/2018,38
Homicidios,08/03/2018,24
Homicidios,09/03/2018,27
Homicidios,10/03/2018,30
Homicidios,11/03/2018,30
Homicidios,12/03/2018,29
Homicidios,13/03/2018,20
Homicidios,14/03/2018,33
Homicidios,15/03/2018,35
Homicidios,16/03/2018,54
Homicidios,17/03/2018,44
Homicidios,18/03/2018,64
Homicidios,19/03/2018,26
Homicidios,20/03/2018,31
Homicidios,21/03/2018,38
Homicidios,22/03/2018,23
Homicidios,23/03/2018,29
Homicidios,24/03/2018,44
Homicidios,25/03/2018,63
Homicidios,26/03/2018,47
