Fecha,Sexo,CantidadTotal
18/05/2017,FEMENINO,52
18/05/2017,MASCULINO,47
19/05/2017,FEMENINO,43
19/05/2017,MASCULINO,55
20/05/2017,FEMENINO,52
20/05/2017,MASCULINO,44
21/05/2017,FEMENINO,40
21/05/2017,MASCULINO,64
22/05/2017,FEMENINO,38
22/05/2017,MASCULINO,67
23/05/2017,FEMENINO,57
23/05/2017,MASCULINO,56
24/05/2017,FEMENINO,54
24/05/2017,MASCULINO,56
25/05/2017,FEMENINO,50
25/05/2017,MASCULINO,62
26/05/2017,FEMENINO,49
26/05/2017,MASCULINO,51
27/05/2017,FEMENINO,44
27/05/2017,MASCULINO,40
28/05/2017,-,1
28/05/2017,FEMENINO,42
28/05/2017,MASCULINO,45
29/05/2017,FEMENINO,30
29/05/2017,MASCULINO,33
30/05/2017,FEMENINO,38
30/05/2017,MASCULINO,48
31/05/2017,FEMENINO,41
31/05/2017,MASCULINO,38
01/06/2017,FEMENINO,53
01/06/2017,MASCULINO,91
02/06/2017,FEMENINO,38
02/06/2017,MASCULINO,49
03/06/2017,FEMENINO,40
03/06/2017,MASCULINO,51
04/06/2017,FEMENINO,37
04/06/2017,MASCULINO,45
05/06/2017,FEMENINO,42
05/06/2017,MASCULINO,55
06/06/2017,FEMENINO,43
06/06/2017,MASCULINO,57
07/06/2017,FEMENINO,50
07/06/2017,MASCULINO,56
08/06/2017,FEMENINO,40
08/06/2017,MASCULINO,47
09/06/2017,FEMENINO,28
09/06/2017,MASCULINO,62
10/06/2017,FEMENINO,46
10/06/2017,MASCULINO,58
11/06/2017,FEMENINO,49
11/06/2017,MASCULINO,62
12/06/2017,FEMENINO,39
12/06/2017,MASCULINO,44
13/06/2017,FEMENINO,51
13/06/2017,MASCULINO,53
14/06/2017,FEMENINO,40
14/06/2017,MASCULINO,48
15/06/2017,FEMENINO,42
15/06/2017,MASCULINO,53
16/06/2017,FEMENINO,30
16/06/2017,MASCULINO,50
17/06/2017,FEMENINO,31
17/06/2017,MASCULINO,39
18/06/2017,FEMENINO,31
18/06/2017,MASCULINO,43
19/06/2017,FEMENINO,31
19/06/2017,MASCULINO,33
20/06/2017,FEMENINO,53
20/06/2017,MASCULINO,70
21/06/2017,-,1
21/06/2017,FEMENINO,42
21/06/2017,MASCULINO,43
22/06/2017,FEMENINO,34
22/06/2017,MASCULINO,44
23/06/2017,FEMENINO,41
23/06/2017,MASCULINO,59
24/06/2017,FEMENINO,30
24/06/2017,MASCULINO,53
25/06/2017,FEMENINO,42
25/06/2017,MASCULINO,49
26/06/2017,FEMENINO,39
26/06/2017,MASCULINO,39
27/06/2017,FEMENINO,52
27/06/2017,MASCULINO,52
28/06/2017,FEMENINO,37
28/06/2017,MASCULINO,53
29/06/2017,-,1
29/06/2017,FEMENINO,48
29/06/2017,MASCULINO,41
30/06/2017,FEMENINO,30
30/06/2017,MASCULINO,45
01/07/2017,FEMENINO,48
01/07/2017,MASCULINO,41
02/07/2017,FEMENINO,49
02/07/2017,MASCULINO,59
03/07/2017,FEMENINO,34
03/07/2017,MASCULINO,44
04/07/2017,FEMENINO,56
04/07/2017,MASCULINO,54
05/07/2017,FEMENINO,53
05/07/2017,MASCULINO,50
06/07/2017,FEMENINO,39
06/07/2017,MASCULINO,50
07/07/2017,FEMENINO,40
07/07/2017,MASCULINO,41
08/07/2017,FEMENINO,34
08/07/2017,MASCULINO,45
09/07/2017,FEMENINO,54
09/07/2017,MASCULINO,58
10/07/2017,FEMENINO,29
10/07/2017,MASCULINO,44
11/07/2017,FEMENINO,44
11/07/2017,MASCULINO,55
12/07/2017,FEMENINO,36
12/07/2017,MASCULINO,52
13/07/2017,FEMENINO,35
13/07/2017,MASCULINO,48
14/07/2017,FEMENINO,32
14/07/2017,MASCULINO,50
15/07/2017,FEMENINO,37
15/07/2017,MASCULINO,67
16/07/2017,FEMENINO,52
16/07/2017,MASCULINO,50
17/07/2017,FEMENINO,58
17/07/2017,MASCULINO,60
18/07/2017,FEMENINO,51
18/07/2017,MASCULINO,55
19/07/2017,FEMENINO,44
19/07/2017,MASCULINO,51
20/07/2017,FEMENINO,59
20/07/2017,MASCULINO,37
21/07/2017,FEMENINO,54
21/07/2017,MASCULINO,56
22/07/2017,FEMENINO,29
22/07/2017,MASCULINO,39
23/07/2017,FEMENINO,39
23/07/2017,MASCULINO,35
24/07/2017,FEMENINO,50
24/07/2017,MASCULINO,48
25/07/2017,FEMENINO,38
25/07/2017,MASCULINO,48
26/07/2017,FEMENINO,41
26/07/2017,MASCULINO,41
27/07/2017,FEMENINO,49
27/07/2017,MASCULINO,60
28/07/2017,FEMENINO,39
28/07/2017,MASCULINO,39
29/07/2017,FEMENINO,38
29/07/2017,MASCULINO,55
30/07/2017,FEMENINO,47
30/07/2017,MASCULINO,41
31/07/2017,FEMENINO,41
31/07/2017,MASCULINO,44
01/08/2017,FEMENINO,79
01/08/2017,MASCULINO,82
02/08/2017,FEMENINO,45
02/08/2017,MASCULINO,41
03/08/2017,FEMENINO,54
03/08/2017,MASCULINO,56
04/08/2017,FEMENINO,43
04/08/2017,MASCULINO,47
05/08/2017,FEMENINO,51
05/08/2017,MASCULINO,50
06/08/2017,FEMENINO,36
06/08/2017,MASCULINO,39
07/08/2017,-,1
07/08/2017,FEMENINO,28
07/08/2017,MASCULINO,37
08/08/2017,FEMENINO,51
08/08/2017,MASCULINO,63
09/08/2017,FEMENINO,49
09/08/2017,MASCULINO,59
10/08/2017,FEMENINO,56
10/08/2017,MASCULINO,63
11/08/2017,FEMENINO,39
11/08/2017,MASCULINO,48
12/08/2017,FEMENINO,40
12/08/2017,MASCULINO,40
13/08/2017,FEMENINO,44
13/08/2017,MASCULINO,42
14/08/2017,FEMENINO,44
14/08/2017,MASCULINO,62
15/08/2017,FEMENINO,46
15/08/2017,MASCULINO,71
16/08/2017,FEMENINO,43
16/08/2017,MASCULINO,61
17/08/2017,FEMENINO,40
17/08/2017,MASCULINO,54
18/08/2017,FEMENINO,41
18/08/2017,MASCULINO,60
19/08/2017,FEMENINO,35
19/08/2017,MASCULINO,44
20/08/2017,FEMENINO,34
20/08/2017,MASCULINO,56
21/08/2017,FEMENINO,45
21/08/2017,MASCULINO,33
22/08/2017,FEMENINO,41
22/08/2017,MASCULINO,60
23/08/2017,FEMENINO,55
23/08/2017,MASCULINO,41
24/08/2017,FEMENINO,46
24/08/2017,MASCULINO,46
25/08/2017,FEMENINO,45
25/08/2017,MASCULINO,48
26/08/2017,FEMENINO,39
26/08/2017,MASCULINO,48
27/08/2017,FEMENINO,35
27/08/2017,MASCULINO,40
28/08/2017,FEMENINO,58
28/08/2017,MASCULINO,75
29/08/2017,FEMENINO,55
29/08/2017,MASCULINO,38
