Fecha,Sexo,CantidadTotal
11/09/2017,MASCULINO,34
12/09/2017,FEMENINO,2
12/09/2017,MASCULINO,23
13/09/2017,FEMENINO,2
13/09/2017,MASCULINO,22
14/09/2017,MASCULINO,24
15/09/2017,FEMENINO,2
15/09/2017,MASCULINO,24
16/09/2017,FEMENINO,2
16/09/2017,MASCULINO,44
17/09/2017,FEMENINO,3
17/09/2017,MASCULINO,48
18/09/2017,FEMENINO,1
18/09/2017,MASCULINO,34
19/09/2017,FEMENINO,3
19/09/2017,MASCULINO,25
20/09/2017,FEMENINO,1
20/09/2017,MASCULINO,20
21/09/2017,FEMENINO,1
21/09/2017,MASCULINO,26
22/09/2017,FEMENINO,1
22/09/2017,MASCULINO,24
23/09/2017,FEMENINO,3
23/09/2017,MASCULINO,29
24/09/2017,FEMENINO,2
24/09/2017,MASCULINO,40
25/09/2017,FEMENINO,3
25/09/2017,MASCULINO,29
26/09/2017,FEMENINO,3
26/09/2017,MASCULINO,21
27/09/2017,FEMENINO,5
27/09/2017,MASCULINO,23
28/09/2017,MASCULINO,21
29/09/2017,FEMENINO,1
29/09/2017,MASCULINO,20
30/09/2017,FEMENINO,1
30/09/2017,MASCULINO,23
01/10/2017,FEMENINO,4
01/10/2017,MASCULINO,55
02/10/2017,FEMENINO,6
02/10/2017,MASCULINO,20
03/10/2017,FEMENINO,2
03/10/2017,MASCULINO,20
04/10/2017,FEMENINO,4
04/10/2017,MASCULINO,22
05/10/2017,FEMENINO,2
05/10/2017,MASCULINO,31
06/10/2017,FEMENINO,5
06/10/2017,MASCULINO,27
07/10/2017,FEMENINO,6
07/10/2017,MASCULINO,29
08/10/2017,FEMENINO,5
08/10/2017,MASCULINO,48
09/10/2017,FEMENINO,3
09/10/2017,MASCULINO,24
10/10/2017,FEMENINO,1
10/10/2017,MASCULINO,35
11/10/2017,FEMENINO,1
11/10/2017,MASCULINO,16
12/10/2017,FEMENINO,1
12/10/2017,MASCULINO,20
13/10/2017,FEMENINO,3
13/10/2017,MASCULINO,27
14/10/2017,FEMENINO,4
14/10/2017,MASCULINO,37
15/10/2017,FEMENINO,4
15/10/2017,MASCULINO,47
16/10/2017,FEMENINO,3
16/10/2017,MASCULINO,36
17/10/2017,FEMENINO,2
17/10/2017,MASCULINO,31
18/10/2017,FEMENINO,5
18/10/2017,MASCULINO,26
19/10/2017,FEMENINO,4
19/10/2017,MASCULINO,27
20/10/2017,FEMENINO,3
20/10/2017,MASCULINO,29
21/10/2017,FEMENINO,5
21/10/2017,MASCULINO,29
22/10/2017,FEMENINO,2
22/10/2017,MASCULINO,42
23/10/2017,FEMENINO,3
23/10/2017,MASCULINO,21
24/10/2017,FEMENINO,1
24/10/2017,MASCULINO,19
25/10/2017,FEMENINO,2
25/10/2017,MASCULINO,26
26/10/2017,FEMENINO,2
26/10/2017,MASCULINO,13
27/10/2017,FEMENINO,1
27/10/2017,MASCULINO,29
28/10/2017,FEMENINO,4
28/10/2017,MASCULINO,30
29/10/2017,FEMENINO,4
29/10/2017,MASCULINO,45
30/10/2017,FEMENINO,2
30/10/2017,MASCULINO,23
31/10/2017,FEMENINO,3
31/10/2017,MASCULINO,42
01/11/2017,FEMENINO,1
01/11/2017,MASCULINO,31
02/11/2017,MASCULINO,24
