Fecha,Zona,CantidadTotal
29/07/2017,RURAL,11
29/07/2017,URBANA,82
30/07/2017,RURAL,6
30/07/2017,URBANA,82
31/07/2017,RURAL,9
31/07/2017,URBANA,76
01/08/2017,RURAL,11
01/08/2017,URBANA,150
02/08/2017,RURAL,8
02/08/2017,URBANA,78
03/08/2017,RURAL,6
03/08/2017,URBANA,104
04/08/2017,RURAL,11
04/08/2017,URBANA,79
05/08/2017,RURAL,15
05/08/2017,URBANA,86
06/08/2017,RURAL,13
06/08/2017,URBANA,62
07/08/2017,RURAL,7
07/08/2017,URBANA,59
08/08/2017,RURAL,14
08/08/2017,URBANA,100
09/08/2017,RURAL,10
09/08/2017,URBANA,98
10/08/2017,RURAL,9
10/08/2017,URBANA,110
11/08/2017,RURAL,9
11/08/2017,URBANA,78
12/08/2017,RURAL,12
12/08/2017,URBANA,68
13/08/2017,RURAL,9
13/08/2017,URBANA,77
14/08/2017,RURAL,8
14/08/2017,URBANA,98
15/08/2017,RURAL,10
15/08/2017,URBANA,107
16/08/2017,RURAL,8
16/08/2017,URBANA,96
17/08/2017,RURAL,7
17/08/2017,URBANA,87
18/08/2017,RURAL,6
18/08/2017,URBANA,95
19/08/2017,RURAL,7
19/08/2017,URBANA,72
20/08/2017,RURAL,7
20/08/2017,URBANA,83
21/08/2017,RURAL,8
21/08/2017,URBANA,70
22/08/2017,RURAL,8
22/08/2017,URBANA,93
23/08/2017,RURAL,8
23/08/2017,URBANA,88
24/08/2017,RURAL,7
24/08/2017,URBANA,85
25/08/2017,RURAL,10
25/08/2017,URBANA,83
26/08/2017,RURAL,17
26/08/2017,URBANA,70
27/08/2017,RURAL,10
27/08/2017,URBANA,65
28/08/2017,RURAL,11
28/08/2017,URBANA,122
29/08/2017,RURAL,7
29/08/2017,URBANA,86
30/08/2017,RURAL,5
30/08/2017,URBANA,95
31/08/2017,RURAL,8
31/08/2017,URBANA,84
01/09/2017,RURAL,11
01/09/2017,URBANA,122
02/09/2017,RURAL,9
