Fecha de la Plenaria,Nombre del Senador,Resultado
2017-02-10,Andrade Serrano Hernan Francisco,No
2017-02-10,Asthon Giraldo Alvaro Antonio,Si
2017-02-10,Benedetti Villaneda Armando Alberto,No
2017-02-10,Celis Carrillo Bernabe,No
2017-02-10,Cepeda Sarabia Efrain Jose,No
2017-02-10,Corzo Roman Juan Manuel,No
2017-02-10,Char Chaljub Arturo,No
2017-02-10,Duque Garcia Luis Fernando,No
2017-02-10,Enriquez Maya Carlos Eduardo,No
2017-02-10,Enriquez Rosero Manuel Mesias,Si
2017-02-10,Galan Pachon Juan Manuel,Si
2017-02-10,Galvis Mendez Daira,Si
2017-02-10,Garcia Realpe Guillermo,No
2017-02-10,Gerlein Echeverria Roberto,No
2017-02-10,Guerra de la Espriella Antonio del Cristo,No
2017-02-10,Lopez Maya Alexander,No
2017-02-10,Mora Jaramillo Manuel Guillermo,No
2017-02-10,Name Cardozo Jose David,Si
2017-02-10,Pedraza Gutierrez Jorge Hernando,No
2017-02-10,Restrepo Escobar Juan Carlos,Si
2017-02-10,Robledo Castillo Jorge Enrique,No
2017-02-10,Rodriguez Sarmiento Milton Arlex,Si
2017-02-10,Sierra Grajales Luis Emilio,No
2017-02-10,Velasco Chaves  Luis Fernando,No
2017-02-10,Aguilar Hurtado Nerthink Mauricio,Si
2017-02-10,Avirama Avirama Marco Anibal,No
2017-02-10,Barreras Montealegre Roy Leonardo,Si
2017-02-10,Besaile Fayad Musa,Si
2017-02-10,Elias Vidal Bernardo Miguel,Si
2017-02-10,Hoyos Giraldo German Dario,Si
2017-02-10,Lizcano Arango Oscar Mauricio,Si
2017-02-10,Martinez Aristizabal Maritza,Si
2017-02-10,Garcia Burgos Nora Maria,No
2017-02-10,Merheg Marun Juan Samy,No
2017-02-10,Paredes Aguirre Myriam Alicia,No
2017-02-10,Suarez Mira Olga Lucia,No
2017-02-10,Tamayo Tamayo Fernando Eustacio,No
2017-02-10,Casado de Lopez Arleth Patricia,Si
2017-02-10,Delgado Ruiz Edinson,No
2017-02-10,Duran Barrera Jaime Enrique,No
2017-02-10,Garcia Turbay Lidio,Si
2017-02-10,Santos Marin Guillermo Antonio,Si
2017-02-10,Villalba Mosquera Rodrigo,Si
2017-02-10,Correa Jimenez Antonio Jose,No
2017-02-10,Garcia Romero Teresita,No
2017-02-10,Guerra Sotto Julio Miguel,No
2017-02-10,Motoa Solarte Carlos Fernando,No
2017-02-10,Name Ivan Leonidas,Si
2017-02-10,Vega Quiroz Doris Clemencia,No
2017-02-10,Andrade Casama Luis Evelis,No
2017-02-10,Castilla Salazar Jesus Alberto,No
2017-02-10,Cepeda Castro Ivan,No
2017-02-10,Niño Avendaño Senen Segundo,No
2017-02-10,Lopez Hernandez Claudia Nayibe,No
2017-02-10,Navarro Wolff Antonio Jose,No
2017-02-10,Ospina Gomez Jorge Ivan,No
2017-02-10,Prieto Riveros Jorge Eliecer,No
2017-02-10,Dusan Albin Velez Trujillo,No
2017-02-10,Martinez Rosales Rosmery,No
2017-02-10,Varon Cotrino German,No
2017-02-10,Alvarez Montenegro Javier Tato,Si
2017-02-10,Cristo Bustos Andres,No
2017-02-10,Fernandez Alcocer Mario Alberto,Si
2017-02-10,Gaviria Correa Sofia Alejandra,No
2017-02-10,Morales Hoyos Viviane,No
2017-02-10,Serpa Uribe Horacio,Si
2017-02-10,Acuña  Diaz Laureano Augusto,Si
2017-02-10,Blel Scaf Nadya Georgette,No
2017-02-10,Delgado Martinez Javier Mauricio,No
2017-02-10,Gomez Jimenez Juan Diego,No
2017-02-10,Osorio  Salgado Nidia Marcela,No
2017-02-10,Pestana Rojas Yamina del Carmen,No
2017-02-10,Araujo Rumie Fernando Nicolas,No
2017-02-10,Bustamante Garcia Everth,No
2017-02-14,Lopez Maya Alexander,Si
2017-02-10,Cabrales Castillo Daniel  Alberto,No
2017-02-10,Castañeda Serrano Orlando,No
2017-02-10,Correa  Borrero Susana,No
2017-02-10,Duque Marquez Ivan,No
2017-02-10,Gaviria Velez Jose  Obdulio,Si
2017-02-10,Baron Neira Leon Rigoberto,No
2017-02-10,Holguin Moreno Paola  Andrea,No
2017-02-10,Macias Tovar Ernesto,No
2017-02-10,Mejia Mejia Carlos  Felipe,No
2017-02-10,Ramos Maya Alfredo,No
2017-02-10,Rangel  Suarez Alfredo,No
2017-02-10,Tovar Rey Nohora  Stella,No
2017-02-10,Uribe Velez Alvaro,No
2017-02-10,Valencia  Laserna Paloma,No
2017-02-10,Guerra  de la Espriella Maria del Rosario,No
2017-02-10,Amin Hernandez Jaime Alejandro,No
2017-02-10,Henriquez Pinedo Honorio Miguel,No
2017-02-10,Amin Escaf Miguel,Si
2017-02-10,Cabrera Baez Angel Custodio,Si
2017-02-10,Chamorro  Cruz William Jimmy,No
2017-02-10,Garcia Zuccardi Andres,No
