ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001173,HY190738,03/19/2015 03:10:00 PM,036XX N MILWAUKEE AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1731.00,17.00,38.00,16,26,1146726,1923676,2015,02/10/2018 15:50,41.94654248,-87.73608438,"(41.946542477, -87.736084376)"
10001174,HY190643,03/16/2015 04:30:00 PM,002XX N PULASKI RD,890,THEFT,FROM BUILDING,RESIDENCE,false,false,1122.00,11.00,28.00,26,6,1149698,1900809,2015,02/10/2018 15:50,41.88373593,-87.72575557,"(41.883735926, -87.725755574)"
10001175,HY190657,03/19/2015 08:30:00 AM,021XX W MONROE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,1223.00,12.00,2.00,28,11,1162164,1899524,2015,02/10/2018 15:50,41.87995846,-87.68001514,"(41.879958463, -87.680015144)"
10001179,HY190639,03/19/2015 01:45:00 PM,0000X W MAPLE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,SMALL RETAIL STORE,false,false,1824.00,18.00,42.00,8,26,1175931,1907619,2015,02/10/2018 15:50,41.90187287,-87.62922097,"(41.901872871, -87.629220969)"
10001180,HY190642,03/19/2015 07:51:00 AM,057XX N PULASKI RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,1711.00,17.00,39.00,13,7,1148690,1937771,2015,02/10/2018 15:50,41.98518239,-87.72849952,"(41.985182385, -87.728499523)"
10001181,HY190605,03/19/2015 11:25:00 AM,037XX W POLK ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,1133.00,11.00,24.00,27,18,1151716,1896119,2015,02/10/2018 15:50,41.87082661,-87.71846862,"(41.870826611, -87.718468623)"
10001182,HY190708,03/18/2015 09:00:00 AM,067XX S CORNELL AVE,560,ASSAULT,SIMPLE,APARTMENT,false,false,332.00,3.00,5.00,43,08A,1188363,1860651,2015,02/10/2018 15:50,41.77270119,-87.58506036,"(41.772701185, -87.585060362)"
10001183,HY190655,03/19/2015 12:40:00 PM,013XX N PULASKI RD,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,2534.00,25.00,27.00,23,6,1149466,1908864,2015,02/10/2018 15:50,41.90584419,-87.72639827,"(41.905844192, -87.726398267)"
10001184,HY190672,03/11/2015 9:00,024XX E 74TH ST,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,334.00,3.00,7.00,43,10,1194066,1856375,2015,02/10/2018 15:50,41.76082947,-87.56429525,"(41.760829468, -87.564295249)"
10001185,HY190684,03/19/2015 02:25:00 PM,002XX W 108TH ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,STREET,true,false,513.00,5.00,34.00,49,26,1176650,1833324,2015,02/10/2018 15:50,41.69798406,-87.62881669,"(41.697984055, -87.628816689)"
10001189,HY190570,03/19/2015 12:55:00 PM,081XX S MICHIGAN AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,true,false,631.00,6.00,6.00,44,5,1178567,1851023,2015,02/10/2018 15:50,41.74650916,-87.62126165,"(41.746509155, -87.621261646)"
