name,Fecha,Sexo,CantidadTotal
Homicidios,07/08/2017,FEMENINO,5
Homicidios,07/08/2017,MASCULINO,31
Homicidios,08/08/2017,FEMENINO,4
Homicidios,08/08/2017,MASCULINO,23
Homicidios,09/08/2017,FEMENINO,3
Homicidios,09/08/2017,MASCULINO,24
Homicidios,10/08/2017,FEMENINO,5
Homicidios,10/08/2017,MASCULINO,24
Homicidios,11/08/2017,FEMENINO,4
Homicidios,11/08/2017,MASCULINO,11
Homicidios,12/08/2017,FEMENINO,1
Homicidios,12/08/2017,MASCULINO,34
Homicidios,13/08/2017,FEMENINO,9
Homicidios,13/08/2017,MASCULINO,42
Homicidios,14/08/2017,FEMENINO,2
Homicidios,14/08/2017,MASCULINO,31
Homicidios,15/08/2017,MASCULINO,24
Homicidios,16/08/2017,MASCULINO,24
Homicidios,17/08/2017,FEMENINO,2
Homicidios,17/08/2017,MASCULINO,31
Homicidios,18/08/2017,FEMENINO,4
Homicidios,18/08/2017,MASCULINO,16
Homicidios,19/08/2017,FEMENINO,5
Homicidios,19/08/2017,MASCULINO,24
Homicidios,20/08/2017,FEMENINO,3
Homicidios,20/08/2017,MASCULINO,40
Homicidios,21/08/2017,MASCULINO,35
Homicidios,22/08/2017,FEMENINO,4
Homicidios,22/08/2017,MASCULINO,15
Homicidios,23/08/2017,FEMENINO,2
Homicidios,23/08/2017,MASCULINO,26
Homicidios,24/08/2017,FEMENINO,3
Homicidios,24/08/2017,MASCULINO,31
Homicidios,25/08/2017,MASCULINO,23
Homicidios,26/08/2017,FEMENINO,1
Homicidios,26/08/2017,MASCULINO,23
Homicidios,27/08/2017,FEMENINO,1
Homicidios,27/08/2017,MASCULINO,47
Homicidios,28/08/2017,FEMENINO,4
Homicidios,28/08/2017,MASCULINO,22
Homicidios,29/08/2017,FEMENINO,1
Homicidios,29/08/2017,MASCULINO,15
Homicidios,30/08/2017,FEMENINO,2
Homicidios,30/08/2017,MASCULINO,30
Homicidios,31/08/2017,MASCULINO,31
Homicidios,01/09/2017,FEMENINO,3
Homicidios,01/09/2017,MASCULINO,30
Homicidios,02/09/2017,FEMENINO,6
Homicidios,02/09/2017,MASCULINO,25
Homicidios,03/09/2017,FEMENINO,3
Homicidios,03/09/2017,MASCULINO,46
Homicidios,04/09/2017,FEMENINO,1
Homicidios,04/09/2017,MASCULINO,33
Homicidios,05/09/2017,FEMENINO,2
Homicidios,05/09/2017,MASCULINO,22
Homicidios,06/09/2017,FEMENINO,1
Homicidios,06/09/2017,MASCULINO,23
Homicidios,07/09/2017,MASCULINO,26
Homicidios,08/09/2017,FEMENINO,3
Homicidios,08/09/2017,MASCULINO,28
Homicidios,09/09/2017,FEMENINO,4
Homicidios,09/09/2017,MASCULINO,27
Homicidios,10/09/2017,FEMENINO,4
Homicidios,10/09/2017,MASCULINO,36
Homicidios,11/09/2017,FEMENINO,3
Homicidios,11/09/2017,MASCULINO,34
Homicidios,12/09/2017,FEMENINO,2
Homicidios,12/09/2017,MASCULINO,23
Homicidios,13/09/2017,FEMENINO,2
Homicidios,13/09/2017,MASCULINO,22
Homicidios,14/09/2017,MASCULINO,24
Homicidios,15/09/2017,FEMENINO,2
Homicidios,15/09/2017,MASCULINO,24
Homicidios,16/09/2017,FEMENINO,2
Homicidios,16/09/2017,MASCULINO,44
Homicidios,17/09/2017,FEMENINO,3
Homicidios,17/09/2017,MASCULINO,48
Homicidios,18/09/2017,FEMENINO,1
Homicidios,18/09/2017,MASCULINO,34
Homicidios,19/09/2017,FEMENINO,3
Homicidios,19/09/2017,MASCULINO,25
Homicidios,20/09/2017,FEMENINO,1
Homicidios,20/09/2017,MASCULINO,20
Homicidios,21/09/2017,FEMENINO,1
Homicidios,21/09/2017,MASCULINO,26
Homicidios,22/09/2017,FEMENINO,1
Homicidios,22/09/2017,MASCULINO,24
Homicidios,23/09/2017,FEMENINO,3
Homicidios,23/09/2017,MASCULINO,29
Homicidios,24/09/2017,FEMENINO,2
Homicidios,24/09/2017,MASCULINO,40
Homicidios,25/09/2017,FEMENINO,3
Homicidios,25/09/2017,MASCULINO,29
