Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1899,-0.41,-0.58,-0.35,-0.22,-0.39,-0.52,-0.28,-0.26,0.01,-0.26,0,-0.19,-0.2875
1900,-0.52,-0.04,-0.17,-0.15,-0.16,-0.09,-0.33,-0.15,-0.06,0.17,-0.13,-0.07,-0.141666667
1901,-0.22,-0.1,-0.12,-0.06,-0.18,0.04,-0.23,-0.17,0.06,-0.15,-0.13,-0.21,-0.1225
1902,-0.3,-0.03,-0.18,-0.2,-0.31,-0.33,-0.42,-0.49,-0.39,-0.42,-0.48,-0.54,-0.340833333
1903,-0.33,-0.13,-0.16,-0.56,-0.45,-0.63,-0.29,-0.4,-0.37,-0.45,-0.44,-0.59,-0.4
1904,-0.78,-0.74,-0.55,-0.42,-0.62,-0.47,-0.59,-0.47,-0.41,-0.5,-0.24,-0.4,-0.515833333
1905,-0.41,-0.96,-0.21,-0.31,-0.33,-0.29,-0.42,-0.25,-0.2,-0.36,-0.07,-0.25,-0.338333333
1906,-0.15,-0.3,-0.32,0.06,-0.18,-0.21,-0.19,-0.15,-0.29,-0.17,-0.52,-0.25,-0.2225
1907,-0.48,-0.65,-0.46,-0.59,-0.58,-0.65,-0.41,-0.52,-0.37,-0.31,-0.57,-0.64,-0.519166667
1908,-0.36,-0.3,-0.49,-0.44,-0.31,-0.41,-0.37,-0.36,-0.14,-0.37,-0.56,-0.38,-0.374166667
1909,-0.76,-0.56,-0.47,-0.59,-0.57,-0.4,-0.32,-0.07,-0.15,-0.14,-0.11,-0.53,-0.389166667
1910,-0.43,-0.36,-0.43,-0.26,-0.22,-0.31,-0.2,-0.1,-0.07,-0.27,-0.51,-0.63,-0.315833333
1911,-0.65,-0.64,-0.6,-0.51,-0.37,-0.36,-0.14,-0.23,-0.24,-0.16,-0.12,-0.23,-0.354166667
1912,-0.16,-0.1,-0.41,-0.28,-0.18,-0.24,-0.48,-0.61,-0.34,-0.45,-0.4,-0.32,-0.330833333
1913,-0.44,-0.49,-0.57,-0.29,-0.62,-0.6,-0.21,-0.19,-0.19,-0.28,-0.13,0.07,-0.328333333
1914,0.16,-0.03,-0.04,-0.19,-0.02,-0.1,-0.22,-0.07,-0.06,0.14,-0.31,-0.2,-0.078333333
1915,-0.16,0.07,-0.09,-0.01,-0.21,-0.21,0.03,-0.19,-0.01,-0.09,0.05,-0.1,-0.076666667
1916,-0.06,-0.1,-0.44,-0.28,-0.34,-0.49,-0.36,-0.1,-0.17,-0.14,-0.36,-0.8,-0.303333333
1917,-0.52,-0.74,-0.79,-0.53,-0.8,-0.46,0,-0.38,-0.31,-0.49,-0.32,-0.94,-0.523333333
1918,-0.62,-0.58,-0.48,-0.55,-0.77,-0.43,-0.48,-0.46,-0.16,0.03,-0.24,-0.34,-0.423333333
1919,-0.28,-0.23,-0.1,-0.12,-0.15,-0.16,-0.07,-0.07,-0.18,-0.05,-0.42,-0.28,-0.175833333
1920,-0.1,-0.27,-0.16,-0.2,-0.31,-0.37,-0.2,-0.14,-0.15,-0.43,-0.33,-0.47,-0.260833333
1921,-0.01,-0.15,-0.11,-0.18,-0.18,-0.09,0.01,-0.46,-0.13,-0.09,-0.27,-0.18,-0.153333333
1922,-0.4,-0.46,-0.32,-0.11,-0.37,-0.32,-0.04,-0.24,-0.13,-0.25,-0.11,-0.15,-0.241666667
1923,-0.25,-0.21,-0.23,-0.47,-0.32,-0.27,-0.49,-0.36,-0.29,-0.08,-0.02,-0.08,-0.255833333
1924,-0.28,-0.42,-0.13,-0.5,-0.27,-0.16,-0.14,-0.16,-0.05,-0.13,-0.06,-0.28,-0.215
1925,-0.42,-0.35,-0.27,-0.15,-0.33,-0.4,-0.41,-0.08,-0.29,-0.34,-0.01,0.19,-0.238333333
1926,0.26,0.28,0.21,-0.11,-0.36,-0.21,-0.16,0.03,0.02,-0.11,0.04,-0.24,-0.029166667
1927,-0.18,-0.18,-0.38,-0.34,-0.29,-0.26,-0.04,-0.25,-0.11,0.14,0.12,-0.24,-0.1675
1928,0.06,-0.01,-0.1,-0.07,-0.39,-0.56,-0.06,-0.03,0.02,-0.04,0.09,-0.04,-0.094166667
1929,-0.28,-0.51,-0.36,-0.43,-0.41,-0.44,-0.37,-0.36,-0.19,0.02,-0.03,-0.59,-0.329166667
1930,-0.22,-0.2,-0.05,-0.22,-0.16,-0.22,-0.2,-0.17,-0.12,-0.27,0.11,-0.07,-0.149166667
1931,-0.15,-0.29,-0.05,-0.3,-0.18,-0.09,0.06,0.08,-0.17,0.04,-0.17,0.05,-0.0975
1932,0.33,-0.29,-0.22,0.05,-0.2,-0.47,-0.24,-0.2,0.04,0.07,-0.11,-0.16,-0.116666667
1933,-0.38,-0.29,-0.27,-0.21,-0.14,-0.28,-0.14,-0.19,-0.11,-0.09,-0.37,-0.56,-0.2525
1934,-0.16,-0.13,-0.37,-0.36,-0.01,-0.19,-0.01,0.05,-0.09,-0.07,0.03,0.06,-0.104166667
1935,-0.34,0.21,0.01,-0.51,-0.37,-0.24,-0.3,-0.26,-0.41,-0.08,-0.33,-0.2,-0.235
1936,-0.3,-0.45,-0.18,-0.05,-0.3,-0.19,0.19,-0.02,-0.03,-0.01,0.01,0.08,-0.104166667
1937,-0.13,0.04,-0.22,-0.21,-0.04,-0.07,-0.15,0.03,0.22,0.19,0.27,-0.1,-0.014166667
1938,-0.02,-0.02,0.18,0.26,0.07,-0.14,0,-0.09,0.09,0.29,0.1,-0.13,0.049166667
1939,-0.04,-0.19,-0.38,-0.18,-0.03,-0.11,-0.14,-0.27,-0.15,-0.1,-0.18,0.32,-0.120833333
1940,-0.22,0.05,0.09,0,0.04,0.15,0.19,0.07,0.18,0.04,0.05,0.22,0.071666667
1941,0.02,0.2,-0.12,0,0.09,0.11,0.24,0.02,-0.21,0.08,-0.07,0.01,0.030833333
1942,0.2,-0.02,-0.02,-0.02,0.01,0.06,0.04,0.09,0.06,0,0.12,0.04,0.046666667
1943,-0.22,0.02,-0.17,-0.02,-0.11,-0.13,0.08,-0.18,0.04,0.27,0.07,0.19,-0.013333333
1944,0.31,0.12,0.09,-0.07,-0.07,-0.07,0.03,0.05,0.21,0.2,0,-0.21,0.049166667
1945,0,-0.15,-0.02,0.11,-0.27,-0.32,-0.23,0.18,0.04,0.03,-0.08,-0.37,-0.09
1946,0,-0.06,-0.17,0.03,0,-0.18,0.04,-0.04,0,-0.15,-0.08,-0.32,-0.0775
1947,-0.14,0.03,0.17,0.11,-0.02,0.01,-0.04,-0.01,0.01,0.22,0.21,-0.19,0.03
1948,0.19,-0.17,-0.28,-0.12,0.03,0.05,-0.16,-0.18,0.01,-0.03,-0.17,-0.2,-0.085833333
1949,0.03,-0.36,-0.07,-0.25,-0.13,-0.16,-0.09,-0.11,-0.05,0.02,-0.04,-0.16,-0.114166667
1950,-0.3,-0.31,-0.05,-0.22,-0.2,-0.09,-0.12,-0.33,-0.18,-0.21,-0.4,-0.17,-0.215
1951,-0.38,-0.47,-0.16,-0.04,0.05,-0.06,-0.06,0.08,0.07,0,-0.03,0.13,-0.0725
1952,0.08,0.09,-0.19,-0.08,-0.13,-0.11,0.03,0.08,0.12,-0.03,-0.21,-0.04,-0.0325
1953,0.09,0.05,0.14,0.09,-0.04,0,-0.05,0.09,0.06,0.03,-0.01,0.13,0.048333333
1954,-0.33,-0.1,-0.12,-0.16,-0.2,-0.21,-0.27,-0.18,-0.18,-0.01,0.16,-0.13,-0.144166667
1955,0.21,-0.11,-0.4,-0.19,-0.19,-0.19,-0.18,0.09,-0.12,0,-0.26,-0.32,-0.138333333
1956,-0.25,-0.33,-0.34,-0.26,-0.31,-0.11,-0.13,-0.33,-0.15,-0.25,-0.24,-0.2,-0.241666667
1957,-0.15,-0.06,-0.09,-0.01,-0.01,0.13,-0.13,0.13,0.09,0,0.13,0.2,0.019166667
1958,0.41,0.24,0.18,0.08,0.11,-0.18,0.07,-0.1,-0.07,0.09,0.08,-0.07,0.07
1959,0.03,0.09,0.23,0.18,-0.01,0.07,0.1,0,-0.13,-0.1,-0.09,0.09,0.038333333
1960,0.07,0.26,-0.46,-0.21,-0.14,-0.02,-0.11,0.07,0.08,0.12,-0.11,0.17,-0.023333333
1961,0.08,0.22,0.03,0.13,0.17,0.12,0,0.07,0.16,0.09,0.08,-0.14,0.084166667
1962,0.08,0.16,0.11,0.05,-0.11,0.05,-0.13,-0.08,0.01,0.02,0.1,0.01,0.0225
1963,-0.01,0.24,-0.23,-0.19,-0.13,0.03,0.06,0.18,0.22,0.1,0.05,-0.05,0.0225
1964,-0.07,-0.17,-0.28,-0.36,-0.33,-0.13,-0.08,-0.29,-0.37,-0.35,-0.21,-0.34,-0.248333333
1965,-0.06,-0.18,-0.12,-0.28,-0.16,-0.15,-0.26,-0.08,-0.27,-0.09,-0.13,-0.19,-0.164166667
1966,-0.22,-0.03,0.14,-0.09,-0.1,-0.04,0.11,-0.1,-0.03,-0.26,-0.05,-0.08,-0.0625
1967,-0.08,-0.26,0.01,-0.09,0.17,-0.13,0.06,0.03,0,0.12,0.01,0,-0.013333333
1968,-0.21,-0.16,0.32,-0.09,-0.18,-0.11,-0.13,-0.08,-0.27,0.06,-0.06,-0.21,-0.093333333
1969,-0.16,-0.26,-0.1,0.11,0.16,0.04,-0.02,-0.09,0.01,0.08,0.08,0.34,0.015833333
1970,0.04,0.27,0.1,0.12,-0.04,0.12,0.09,-0.07,0.16,0.11,0.04,-0.1,0.07
1971,-0.01,-0.12,-0.19,-0.03,-0.05,-0.19,-0.08,0.04,0.03,-0.01,-0.1,-0.04,-0.0625
1972,-0.28,-0.3,-0.06,-0.04,-0.01,0.09,0.07,0.21,0.06,-0.02,-0.04,0.15,-0.014166667
1973,0.26,0.33,0.37,0.35,0.35,0.29,0.21,0.07,0.12,0.2,0.1,-0.01,0.22
1974,-0.05,-0.23,0,-0.07,0.03,0.02,-0.02,0.13,-0.14,-0.07,-0.07,-0.03,-0.041666667
1975,0.07,0.1,0.14,0.05,0.27,0.05,0.08,-0.25,-0.02,-0.03,-0.05,-0.21,0.016666667
1976,0,-0.06,-0.3,-0.22,-0.23,-0.17,-0.16,-0.23,-0.15,-0.36,-0.16,-0.02,-0.171666667
1977,0.14,0.23,0.32,0.32,0.3,0.33,0.31,0.29,-0.08,0,0.25,0.15,0.213333333
1978,0.14,0.2,0.28,0.27,0.21,0.04,0.2,-0.14,0.15,0.04,0.15,0.12,0.138333333
1979,0.18,-0.1,0.26,0.2,0.1,0.21,0.05,0.14,0.3,0.28,0.31,0.53,0.205
1980,0.36,0.46,0.42,0.45,0.47,0.23,0.38,0.32,0.33,0.24,0.3,0.19,0.345833333
1981,0.63,0.58,0.67,0.51,0.34,0.39,0.52,0.55,0.29,0.12,0.23,0.48,0.4425
1982,0.13,0.25,0,0.04,0.26,0.05,0.19,0.09,0.1,0.02,0.13,0.42,0.14
1983,0.49,0.41,0.48,0.41,0.5,0.29,0.21,0.47,0.56,0.34,0.33,0.18,0.389166667
1984,0.24,0.16,0.38,0.16,0.47,0.05,0.19,0.28,0.28,0.22,0.11,0.03,0.214166667
1985,0.32,0.02,0.27,0.2,0.22,0.27,0.03,0.35,0.26,0.13,0.09,0.14,0.191666667
1986,0.39,0.53,0.39,0.44,0.34,0.13,0.15,0.22,0.04,0.13,0.13,0.22,0.259166667
1987,0.45,0.55,0.26,0.39,0.31,0.57,0.61,0.28,0.38,0.36,0.31,0.58,0.420833333
1988,0.68,0.5,0.63,0.51,0.63,0.61,0.46,0.58,0.56,0.56,0.2,0.39,0.525833333
1989,0.26,0.46,0.45,0.43,0.19,0.16,0.49,0.53,0.55,0.44,0.23,0.41,0.383333333
1990,0.53,0.42,0.86,0.65,0.56,0.47,0.62,0.43,0.31,0.52,0.55,0.48,0.533333333
1991,0.5,0.63,0.49,0.73,0.43,0.71,0.63,0.57,0.64,0.36,0.34,0.34,0.530833333
1992,0.51,0.43,0.54,0.24,0.28,0.32,0.09,0.14,-0.02,0.1,0.04,0.26,0.244166667
1993,0.41,0.42,0.34,0.31,0.29,0.29,0.4,0.23,0.11,0.25,0.09,0.19,0.2775
1994,0.4,0.09,0.27,0.54,0.29,0.59,0.42,0.27,0.41,0.42,0.52,0.44,0.388333333
1995,0.57,0.9,0.52,0.59,0.38,0.5,0.64,0.58,0.47,0.67,0.54,0.4,0.563333333
1996,0.42,0.61,0.46,0.51,0.35,0.33,0.59,0.77,0.43,0.34,0.52,0.54,0.489166667
1997,0.49,0.56,0.67,0.4,0.43,0.68,0.34,0.46,0.51,0.61,0.73,0.71,0.549166667
1998,0.74,1.21,0.85,0.83,0.94,1.04,0.93,0.86,0.59,0.69,0.66,0.79,0.844166667
1999,0.68,0.86,0.49,0.4,0.49,0.63,0.63,0.55,0.66,0.63,0.58,0.51,0.5925
2000,0.31,0.78,0.7,0.75,0.57,0.7,0.63,0.62,0.58,0.36,0.49,0.49,0.581666667
2001,0.59,0.62,0.68,0.6,0.73,0.66,0.72,0.64,0.71,0.63,0.8,0.74,0.676666667
2002,0.98,0.9,1.13,0.8,0.88,0.65,0.84,0.69,0.83,0.64,0.71,0.55,0.8
2003,0.93,0.75,0.73,0.68,0.86,0.64,0.65,0.85,0.83,0.86,0.66,0.88,0.776666667
2004,0.74,0.94,0.84,0.77,0.46,0.66,0.23,0.59,0.58,0.81,0.88,0.69,0.6825
2005,0.97,0.87,0.93,0.83,0.75,0.83,0.79,0.74,0.98,1,0.89,0.9,0.873333333
2006,0.77,0.91,0.8,0.7,0.51,0.77,0.65,0.83,0.73,0.83,0.85,0.89,0.77
2007,1.22,0.94,0.91,0.94,0.95,0.67,0.78,0.84,0.81,0.8,0.73,0.71,0.858333333
2008,0.48,0.45,0.9,0.67,0.56,0.51,0.74,0.41,0.82,0.73,0.81,0.73,0.650833333
2009,0.76,0.75,0.66,0.73,0.84,0.81,0.87,0.86,0.89,0.72,0.84,0.77,0.791666667
2010,0.97,1.05,1.13,1,0.97,0.85,0.74,0.83,0.85,0.95,1.01,0.7,0.920833333
2011,0.72,0.69,0.76,0.82,0.65,0.73,0.89,0.95,0.77,0.83,0.78,0.8,0.7825
2012,0.61,0.58,0.7,0.8,0.94,0.72,0.57,0.85,0.88,0.92,0.93,0.72,0.768333333
2013,0.97,0.74,0.84,0.67,0.66,0.88,0.66,0.78,1,0.85,0.89,0.83,0.814166667
2014,0.94,0.65,0.77,0.88,1.04,0.77,0.71,0.84,1.09,1.01,0.8,0.97,0.8725
2015,0.94,1.07,1.1,0.77,0.84,0.85,0.69,0.88,0.8,1.19,1.18,1.39,0.975
2016,1.35,1.65,1.63,1.36,1.15,0.89,0.97,1.3,1.1,1.21,1.19,1.12,1.243333333
2017,1.13,1.42,1.36,1.17,1.24,0.79,1.07,1.11,0.98,1.17,1.04,1.13,1.134166667
2018,1.04,1.12,1.22,1.21,1.01,0.89,1.06,0.97,***,***,***,***,1.065
